Time, Real_Position, Real_Velocity, Learned_Position, Learned_Velocity
4.804804623126983643e-01,8.003816008567810059e-01,-7.775026559829711914e-01,7.116897106170654297e-01,-9.063549637794494629e-01
4.904904663562774658e-01,7.925987839698791504e-01,-7.888566255569458008e-01,7.005301713943481445e-01,-9.172206521034240723e-01
5.005005002021789551e-01,7.847023010253906250e-01,-7.999866008758544922e-01,6.892297863960266113e-01,-9.277169108390808105e-01
5.105105042457580566e-01,7.766944169998168945e-01,-8.108916282653808594e-01,6.777933239936828613e-01,-9.378428459167480469e-01
5.205205082893371582e-01,7.685773968696594238e-01,-8.215708136558532715e-01,6.662253737449645996e-01,-9.475978016853332520e-01
5.305305123329162598e-01,7.603534460067749023e-01,-8.320233821868896484e-01,6.545305252075195312e-01,-9.569811820983886719e-01
5.405405163764953613e-01,7.520248889923095703e-01,-8.422485589981079102e-01,6.427135467529296875e-01,-9.659925699234008789e-01
5.505505204200744629e-01,7.435939908027648926e-01,-8.522455692291259766e-01,6.307790279388427734e-01,-9.746316075325012207e-01
5.605605244636535645e-01,7.350630164146423340e-01,-8.620137572288513184e-01,6.187317371368408203e-01,-9.828981757164001465e-01
5.705705285072326660e-01,7.264342308044433594e-01,-8.715524673461914062e-01,6.065763235092163086e-01,-9.907922148704528809e-01
5.805805325508117676e-01,7.177099585533142090e-01,-8.808611631393432617e-01,5.943174958229064941e-01,-9.983137845993041992e-01
5.905905365943908691e-01,7.088925242424011230e-01,-8.899392485618591309e-01,5.819599032402038574e-01,-1.005463123321533203e+00
6.006005406379699707e-01,6.999842524528503418e-01,-8.987863063812255859e-01,5.695083141326904297e-01,-1.012240529060363770e+00
6.106106042861938477e-01,6.909873485565185547e-01,-9.074019193649291992e-01,5.569673180580139160e-01,-1.018646478652954102e+00
6.206206083297729492e-01,6.819042563438415527e-01,-9.157856106758117676e-01,5.443417429924011230e-01,-1.024681568145751953e+00
6.306306123733520508e-01,6.727372407913208008e-01,-9.239371418952941895e-01,5.316362380981445312e-01,-1.030346512794494629e+00
6.406406164169311523e-01,6.634886264801025391e-01,-9.318561553955078125e-01,5.188554525375366211e-01,-1.035642027854919434e+00
6.506506204605102539e-01,6.541607379913330078e-01,-9.395424723625183105e-01,5.060040950775146484e-01,-1.040569186210632324e+00
6.606606245040893555e-01,6.447558999061584473e-01,-9.469958543777465820e-01,4.930867850780487061e-01,-1.045128941535949707e+00
6.706706285476684570e-01,6.352764964103698730e-01,-9.542162418365478516e-01,4.801081717014312744e-01,-1.049322485923767090e+00
6.806806325912475586e-01,6.257247924804687500e-01,-9.612034559249877930e-01,4.670729339122772217e-01,-1.053151130676269531e+00
6.906906366348266602e-01,6.161031126976013184e-01,-9.679574966430664062e-01,4.539856612682342529e-01,-1.056616306304931641e+00
7.007007002830505371e-01,6.064137816429138184e-01,-9.744783639907836914e-01,4.408508539199829102e-01,-1.059719562530517578e+00
7.107107043266296387e-01,5.966592431068420410e-01,-9.807660579681396484e-01,4.276732802391052246e-01,-1.062462329864501953e+00
7.207207083702087402e-01,5.868417620658874512e-01,-9.868206977844238281e-01,4.144574403762817383e-01,-1.064846515655517578e+00
7.307307124137878418e-01,5.769636631011962891e-01,-9.926424026489257812e-01,4.012078344821929932e-01,-1.066873908042907715e+00
7.407407164573669434e-01,5.670273303985595703e-01,-9.982314109802246094e-01,3.879289925098419189e-01,-1.068546414375305176e+00
7.507507205009460449e-01,5.570350289344787598e-01,-1.003587961196899414e+00,3.746254146099090576e-01,-1.069866180419921875e+00
7.607607245445251465e-01,5.469890832901000977e-01,-1.008712291717529297e+00,3.613015413284301758e-01,-1.070835232734680176e+00
7.707707881927490234e-01,5.368918180465698242e-01,-1.013604760169982910e+00,3.479617536067962646e-01,-1.071455836296081543e+00
7.807807922363281250e-01,5.267456173896789551e-01,-1.018265604972839355e+00,3.346106112003326416e-01,-1.071730375289916992e+00
7.907907962799072266e-01,5.165527462959289551e-01,-1.022695302963256836e+00,3.212524056434631348e-01,-1.071661233901977539e+00
8.008008003234863281e-01,5.063155889511108398e-01,-1.026894330978393555e+00,3.078914880752563477e-01,-1.071251034736633301e+00
8.108108043670654297e-01,4.960363805294036865e-01,-1.030863285064697266e+00,2.945321500301361084e-01,-1.070502281188964844e+00
8.208208084106445312e-01,4.857174456119537354e-01,-1.034602522850036621e+00,2.811786830425262451e-01,-1.069417834281921387e+00
8.308308124542236328e-01,4.753610789775848389e-01,-1.038112759590148926e+00,2.678353190422058105e-01,-1.068000316619873047e+00
8.408408164978027344e-01,4.649695754051208496e-01,-1.041394591331481934e+00,2.545062601566314697e-01,-1.066252708435058594e+00
8.508508205413818359e-01,4.545451998710632324e-01,-1.044448614120483398e+00,2.411956638097763062e-01,-1.064177989959716797e+00
8.608608841896057129e-01,4.440901875495910645e-01,-1.047275662422180176e+00,2.279075682163238525e-01,-1.061779260635375977e+00
8.708708882331848145e-01,4.336069524288177490e-01,-1.049876451492309570e+00,2.146462351083755493e-01,-1.059059619903564453e+00
8.808808326721191406e-01,4.230977594852447510e-01,-1.052251696586608887e+00,2.014156877994537354e-01,-1.056022286415100098e+00
8.908908367156982422e-01,4.125647246837615967e-01,-1.054402232170104980e+00,1.882197856903076172e-01,-1.052670478820800781e+00
9.009008407592773438e-01,4.020101428031921387e-01,-1.056329011917114258e+00,1.750625520944595337e-01,-1.049007654190063477e+00
9.109108448028564453e-01,3.914362788200378418e-01,-1.058032989501953125e+00,1.619479060173034668e-01,-1.045037269592285156e+00
9.209208488464355469e-01,3.808453679084777832e-01,-1.059514999389648438e+00,1.488797068595886230e-01,-1.040762782096862793e+00
9.309308528900146484e-01,3.702396154403686523e-01,-1.060776114463806152e+00,1.358617842197418213e-01,-1.036187767982482910e+00
9.409409165382385254e-01,3.596211671829223633e-01,-1.061817288398742676e+00,1.228978261351585388e-01,-1.031315803527832031e+00
9.509509205818176270e-01,3.489923775196075439e-01,-1.062639594078063965e+00,1.099917143583297729e-01,-1.026150822639465332e+00
9.609609246253967285e-01,3.383553624153137207e-01,-1.063244223594665527e+00,9.714704751968383789e-02,-1.020696401596069336e+00
9.709709286689758301e-01,3.277122974395751953e-01,-1.063632249832153320e+00,8.436745405197143555e-02,-1.014956474304199219e+00
9.809809327125549316e-01,3.170653283596038818e-01,-1.063804864883422852e+00,7.165651768445968628e-02,-1.008934974670410156e+00
9.909909367561340332e-01,3.064166307449340820e-01,-1.063763260841369629e+00,5.901776254177093506e-02,-1.002635836601257324e+00
1.001001000404357910e+00,2.957682907581329346e-01,-1.063508749008178711e+00,4.645458608865737915e-02,-9.960630536079406738e-01
1.011011004447937012e+00,2.851225733757019043e-01,-1.063042640686035156e+00,3.397056460380554199e-02,-9.892207384109497070e-01
1.021021008491516113e+00,2.744815051555633545e-01,-1.062366127967834473e+00,2.156899496912956238e-02,-9.821130037307739258e-01
1.031031012535095215e+00,2.638472020626068115e-01,-1.061480641365051270e+00,9.253197349607944489e-03,-9.747440218925476074e-01
1.041041016578674316e+00,2.532217800617218018e-01,-1.060387611389160156e+00,-2.973568625748157501e-03,-9.671180248260498047e-01
1.051051020622253418e+00,2.426072955131530762e-01,-1.059088468551635742e+00,-1.510808989405632019e-02,-9.592393040657043457e-01
1.061061024665832520e+00,2.320058196783065796e-01,-1.057584524154663086e+00,-2.714721113443374634e-02,-9.511121511459350586e-01
